ArrivalRegion	SourceRegion	NISDens	TotDens	PropNIS	CPNIS	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous
2	7	0	20700.63694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	0	2078.91012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	442.3213022	36004.954	0.012285012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.3213022	0	0	0
2	7	0	36199.57537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	0	1161.801132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	221.1606511	18489.03043	0.011961722	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.1606511	0
2	7	0	15392.78132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	0.884642604	239.7381458	0.003690037	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.884642604	0	0	0	0	0	0
2	7	88.46426044	7121.372965	0.01242236	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.11606511	0	0	66.34819533	0	0
2	7	0	27459.30644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	14.73814579	11433.6695	0.001289013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.73814579	0	0	0
2	7	0	3491.330502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7	29.485138	22617.3213	0.001303653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.485138	0	0	0	0	0	0	0	0
2	7	769.6390658	7563.694268	0.101754386	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.61783439	0	0	636.9426752	0	53.07855626	0	0	0
